name;id;error;time;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-1;0;false;20394.625;false;6;6;6;16296 16960 16990 16990 17562 20964;16296 16960 16990 16990 17562 20964;16296 16960 16990 16990 17562 20964;127;0
interactive-discover-1;1;false;7837.375;false;4;4;4;6994 6994 6994 8060;6994 6994 6994 8060;6994 6994 6994 8060;19;0
interactive-discover-1;2;false;7389.25;false;1;1;1;7473;7473;7473;16;0
interactive-discover-1;3;false;19207;false;14;14;14;7845 7930 7971 10065 10089 10171 12016 12073 12137 12197 14301 14301 14301 20148;7845 7930 7971 10065 10089 10171 12016 12073 12137 12197 14301 14301 14301 20148;7845 7930 7971 10065 10089 10171 12016 12073 12137 12197 14301 14301 14301 20148;223;0
interactive-discover-1;4;false;19499;false;8;8;8;13651 14081 14776 17089 17089 17120 17120 19721;13651 14081 14776 17089 17089 17120 17120 19721;13651 14081 14776 17089 17089 17120 17120 19721;122;0
interactive-discover-2;0;false;24107.875;false;66;66;66;11524 11575 11616 11657 11694 11694 11813 11813 13443 13503 13534 15237 15321 15889 15897 15897 16020 16020 16067 16067 16067 16139 16177 16177 16248 16248 16294 16873 16915 17359 18914 18914 19036 19037 19125 19125 19169 22524 24505 24505 24710 24741 24777 24817 24864 24873 25071 25071 25071 25145 25145 25199 25199 25279 25279 25345 25345 25390 25390 25390 25472 25472 25488 25488 25488 25503;11524 11575 11616 11657 11694 11694 11813 11813 13443 13503 13534 15237 15321 15889 15897 15897 16020 16020 16067 16067 16067 16139 16177 16177 16248 16248 16294 16873 16915 17359 18914 18914 19036 19037 19125 19125 19169 22524 24505 24505 24710 24741 24777 24817 24864 24873 25071 25071 25071 25145 25145 25199 25199 25279 25279 25345 25345 25390 25390 25390 25472 25472 25488 25488 25488 25503;11524 11575 11616 11657 11694 11694 11813 11813 13443 13503 13534 15237 15321 15889 15897 15897 16020 16020 16067 16067 16067 16139 16177 16177 16248 16248 16294 16873 16915 17359 18914 18914 19036 19037 19125 19125 19169 22524 24505 24505 24710 24741 24777 24817 24864 24873 25071 25071 25071 25145 25145 25199 25199 25279 25279 25345 25345 25390 25390 25390 25472 25472 25488 25488 25488 25503;128;0
interactive-discover-2;1;false;7852.25;false;46;46;46;7474 7517 7517 7517 7517 7653 7653 7689 7689 7689 7689 7709 7758 7758 7758 7758 7827 7827 7827 7868 7868 7891 7891 7891 7978 7978 7978 7983 7983 7983 7983 7991 7996 7996 7996 7996 8018 8018 8040 8040 8043 8043 8043 8045 8045 8301;7474 7517 7517 7517 7517 7653 7653 7689 7689 7689 7689 7709 7758 7758 7758 7758 7827 7827 7827 7868 7868 7891 7891 7891 7978 7978 7978 7983 7983 7983 7983 7991 7996 7996 7996 7996 8018 8018 8040 8040 8043 8043 8043 8045 8045 8301;7474 7517 7517 7517 7517 7653 7653 7689 7689 7689 7689 7709 7758 7758 7758 7758 7827 7827 7827 7868 7868 7891 7891 7891 7978 7978 7978 7983 7983 7983 7983 7991 7996 7996 7996 7996 8018 8018 8040 8040 8043 8043 8043 8045 8045 8301;20;0
interactive-discover-2;2;false;7541.375;false;32;32;32;7457 7458 7458 7458 7569 7570 7570 7673 7673 7702 7702 7709 7710 7710 7710 7759 7759 7759 7821 7821 7865 7865 7865 7865 7865 7870 7870 7871 7871 7872 7873 7874;7457 7458 7458 7458 7569 7570 7570 7673 7673 7702 7702 7709 7710 7710 7710 7759 7759 7759 7821 7821 7865 7865 7865 7865 7865 7870 7870 7871 7871 7872 7873 7874;7457 7458 7458 7458 7569 7570 7570 7673 7673 7702 7702 7709 7710 7710 7710 7759 7759 7759 7821 7821 7865 7865 7865 7865 7865 7870 7870 7871 7871 7872 7873 7874;17;0
interactive-discover-2;3;false;22429.375;false;198;198;198;7630 7683 7684 9166 9166 9166 9166 9386 9386 9613 9613 9741 9741 9896 9896 10127 10128 10455 10455 10591 10834 10834 11078 11078 11078 11314 11314 11314 11414 11480 11555 11555 11698 11699 11815 11838 11838 11961 11961 12083 12083 12692 12692 12780 12780 12846 12847 12979 12979 13112 13112 13245 13245 13407 13407 13660 13660 13746 13746 13852 13852 13852 13963 13963 14146 14146 14268 14268 14390 14390 14390 14390 14523 14523 14664 14664 14664 14745 14745 15186 15260 15363 15477 15477 15608 15608 15815 15815 15937 15937 16023 16023 16023 16023 16145 16145 16415 16415 16495 16495 16495 16495 16615 16676 16740 16805 16878 16944 16944 17145 17145 17145 17145 17638 17707 17707 17801 17801 17801 18038 18112 18179 18325 18384 18544 18589 18636 18689 18689 18689 18837 18837 18837 18930 18930 19032 19032 19032 19128 19129 19202 19202 19315 19730 19915 19915 19997 19997 20130 20131 20257 20257 20257 20339 20339 20469 20469 20603 20603 20603 20741 20741 20948 20948 21072 21072 21197 21198 21198 21330 21330 21451 21451 21755 21756 21867 21867 21967 21967 21967 22024 22024 22094 22120 22213 22222 22260 22341 22541 22576 22637 22637 22637 22678 22679 22701 22701 22734;7630 7683 7684 9166 9166 9166 9166 9386 9386 9613 9613 9741 9741 9896 9896 10127 10128 10455 10455 10591 10834 10834 11078 11078 11078 11314 11314 11314 11414 11480 11555 11555 11698 11699 11815 11838 11838 11961 11961 12083 12083 12692 12692 12780 12780 12846 12847 12979 12979 13112 13112 13245 13245 13407 13407 13660 13660 13746 13746 13852 13852 13852 13963 13963 14146 14146 14268 14268 14390 14390 14390 14390 14523 14523 14664 14664 14664 14745 14745 15186 15260 15363 15477 15477 15608 15608 15815 15815 15937 15937 16023 16023 16023 16023 16145 16145 16415 16415 16495 16495 16495 16495 16615 16676 16740 16805 16878 16944 16944 17145 17145 17145 17145 17638 17707 17707 17801 17801 17801 18038 18112 18179 18325 18384 18544 18589 18636 18689 18689 18689 18837 18837 18837 18930 18930 19032 19032 19032 19128 19129 19202 19202 19315 19730 19915 19915 19997 19997 20130 20131 20257 20257 20257 20339 20339 20469 20469 20603 20603 20603 20741 20741 20948 20948 21072 21072 21197 21198 21198 21330 21330 21451 21451 21755 21756 21867 21867 21967 21967 21967 22024 22024 22094 22120 22213 22222 22260 22341 22541 22576 22637 22637 22637 22678 22679 22701 22701 22734;7630 7683 7684 9166 9166 9166 9166 9386 9386 9613 9613 9741 9741 9896 9896 10127 10128 10455 10455 10591 10834 10834 11078 11078 11078 11314 11314 11314 11414 11480 11555 11555 11698 11699 11815 11838 11838 11961 11961 12083 12083 12692 12692 12780 12780 12846 12847 12979 12979 13112 13112 13245 13245 13407 13407 13660 13660 13746 13746 13852 13852 13852 13963 13963 14146 14146 14268 14268 14390 14390 14390 14390 14523 14523 14664 14664 14664 14745 14745 15186 15260 15363 15477 15477 15608 15608 15815 15815 15937 15937 16023 16023 16023 16023 16145 16145 16415 16415 16495 16495 16495 16495 16615 16676 16740 16805 16878 16944 16944 17145 17145 17145 17145 17638 17707 17707 17801 17801 17801 18038 18112 18179 18325 18384 18544 18589 18636 18689 18689 18689 18837 18837 18837 18930 18930 19032 19032 19032 19128 19129 19202 19202 19315 19730 19915 19915 19997 19997 20130 20131 20257 20257 20257 20339 20339 20469 20469 20603 20603 20603 20741 20741 20948 20948 21072 21072 21197 21198 21198 21330 21330 21451 21451 21755 21756 21867 21867 21967 21967 21967 22024 22024 22094 22120 22213 22222 22260 22341 22541 22576 22637 22637 22637 22678 22679 22701 22701 22734;224;0
interactive-discover-2;4;false;23383.625;false;98;98;98;12545 12573 12607 12614 12697 12726 12732 12756 12809 12809 12931 12971 12984 13016 13051 13087 13087 13255 13255 13305 13305 13391 13391 13392 13534 13534 14413 14450 14489 14523 14556 15248 15824 15859 15888 15888 15888 16003 16003 16082 16082 16126 16333 16376 16521 16559 16604 16646 16658 16658 16658 16809 16809 17383 17971 19260 19289 19324 19363 19443 19443 19514 19514 19583 19583 19639 19639 19639 20295 21924 21949 22024 22727 22761 23297 23297 23375 23375 23426 23426 23493 23493 23493 23563 23563 23610 23610 23641 23776 23794 23815 23828 23828 23828 23828 23854 23854 23857;12545 12573 12607 12614 12697 12726 12732 12756 12809 12809 12931 12971 12984 13016 13051 13087 13087 13255 13255 13305 13305 13391 13391 13392 13534 13534 14413 14450 14489 14523 14556 15248 15824 15859 15888 15888 15888 16003 16003 16082 16082 16126 16333 16376 16521 16559 16604 16646 16658 16658 16658 16809 16809 17383 17971 19260 19289 19324 19363 19443 19443 19514 19514 19583 19583 19639 19639 19639 20295 21924 21949 22024 22727 22761 23297 23297 23375 23375 23426 23426 23493 23493 23493 23563 23563 23610 23610 23641 23776 23794 23815 23828 23828 23828 23828 23854 23854 23857;12545 12573 12607 12614 12697 12726 12732 12756 12809 12809 12931 12971 12984 13016 13051 13087 13087 13255 13255 13305 13305 13391 13391 13392 13534 13534 14413 14450 14489 14523 14556 15248 15824 15859 15888 15888 15888 16003 16003 16082 16082 16126 16333 16376 16521 16559 16604 16646 16658 16658 16658 16809 16809 17383 17971 19260 19289 19324 19363 19443 19443 19514 19514 19583 19583 19639 19639 19639 20295 21924 21949 22024 22727 22761 23297 23297 23375 23375 23426 23426 23493 23493 23493 23563 23563 23610 23610 23641 23776 23794 23815 23828 23828 23828 23828 23854 23854 23857;123;0
interactive-discover-3;0;true;60096.625;true;0;0;0;;;;254;0
interactive-discover-3;1;true;60067.5;true;0;0;0;;;;148;0
interactive-discover-3;2;false;27118.375;false;55;55;55;27563 27563 27563 27563 27563 27563 27563 27563 27563 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27566 27566 27566 27566 27566 27566 27566;27563 27563 27563 27563 27563 27563 27563 27563 27563 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27566 27566 27566 27566 27566 27566 27566;27563 27563 27563 27563 27563 27563 27563 27563 27563 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27564 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27565 27566 27566 27566 27566 27566 27566 27566;101;0
interactive-discover-3;3;true;60113.625;false;0;0;0;;;;430;0
interactive-discover-3;4;true;60118.5;true;0;0;0;;;;274;0
interactive-discover-4;0;true;60060;false;0;0;0;;;;144;0
interactive-discover-4;1;false;8407.375;false;3;3;3;8640 8640 8641;8640 8640 8641;8640 8640 8641;24;0
interactive-discover-4;2;false;7975.25;false;3;3;3;8468 8468 8468;8468 8468 8468;8468 8468 8468;21;0
interactive-discover-4;3;false;37822.375;false;3;3;3;38138 38138 38138;38138 38138 38138;38138 38138 38138;229;0
interactive-discover-4;4;true;60066.5;true;0;0;0;;;;143;0
interactive-discover-5;0;false;12618.375;false;15;15;15;9703 9797 9974 10055 10823 11467 11574 11607 11888 12074 12216 12216 12255 14928 14928;9703 9797 9974 10055 10823 11467 11574 11607 11888 12074 12216 12216 12255 14928 14928;9703 9797 9974 10055 10823 11467 11574 11607 11888 12074 12216 12216 12255 14928 14928;128;0
interactive-discover-5;1;false;7263.875;false;3;3;3;7168 7200 7897;7168 7200 7897;7168 7200 7897;20;0
interactive-discover-5;2;false;7234.125;false;3;3;3;7227 7280 7351;7227 7280 7351;7227 7280 7351;17;0
interactive-discover-5;3;false;11441.25;false;4;4;4;8640 9872 10442 12295;8640 9872 10442 12295;8640 9872 10442 12295;224;0
interactive-discover-5;4;false;12046;false;20;20;20;8678 8715 8750 8971 9109 9351 9369 9419 9453 9542 9894 9988 10214 10257 11665 12118 15022 15085 15213 21496;8678 8715 8750 8971 9109 9351 9369 9419 9453 9542 9894 9988 10214 10257 11665 12118 15022 15085 15213 21496;8678 8715 8750 8971 9109 9351 9369 9419 9453 9542 9894 9988 10214 10257 11665 12118 15022 15085 15213 21496;123;0
interactive-discover-6;0;true;60147.25;false;0;0;0;;;;1658;0
interactive-discover-6;1;false;7579.375;false;1;1;1;8241;8241;8241;20;0
interactive-discover-6;2;false;7080.25;false;1;1;1;7182;7182;7182;17;0
interactive-discover-6;3;true;60126.125;false;0;0;0;;;;2556;0
